Localidades;Períodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino Médio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;Cód. IBGE
Itapira;2019;24564;2130;3540;14978;3916;3522604
Itapirapuã Paulista;2019;568;97;125;273;73;3522653
Itápolis;2019;10081;1515;1428;5781;1357;3522703
Itaporanga;2019;2191;159;382;1332;318;3522802
Itapuí;2019;4557;750;1522;1883;402;3522901
Itapura;2019;656;99;92;378;87;3523008
Itaquaquecetuba;2019;44191;2877;5608;28240;7466;3523107
Itararé;2019;8446;668;1895;4515;1368;3523206
Itariri;2019;1602;233;293;806;270;3523305
Itatiba;2019;34953;3715;6207;18584;6447;3523404
Itatinga;2019;3058;696;486;1504;372;3523503
Itirapina;2019;4267;506;934;2244;583;3523602
Itirapuã;2019;737;262;116;244;115;3523701
Itobi;2019;994;161;162;552;119;3523800
Itu;2019;55505;4717;7808;32747;10233;3523909
Itupeva;2019;28846;1777;3585;18598;4886;3524006
Ituverava;2019;7548;592;1111;4214;1631;3524105
Jaborandi;2019;902;107;166;468;161;3524204
Jaboticabal;2019;22172;2807;3951;11438;3976;3524303
Jacareí;2019;49993;3341;4976;31078;10598;3524402
Jaci;2019;2810;286;607;1569;348;3524501
Jacupiranga;2019;3253;560;633;1704;356;3524600
Jaguariúna;2019;34490;1693;4091;18176;10530;3524709
Jales;2019;11594;860;1415;6978;2341;3524808
Jambeiro;2019;2673;294;307;1696;376;3524907
Jandira;2019;19274;1141;2204;12083;3846;3525003
Jardinópolis;2019;9138;883;1879;4985;1391;3525102
Jarinu;2019;9248;637;1183;5550;1878;3525201
Jaú;2019;37693;3251;8123;19964;6355;3525300
Jeriquara;2019;732;150;150;294;138;3525409
Joanópolis;2019;2393;376;460;1297;260;3525508
João Ramalho;2019;535;72;90;267;106;3525607
José Bonifácio;2019;9850;1075;2128;5548;1099;3525706
Júlio Mesquita;2019;480;66;108;189;117;3525805
Jumirim;2019;1315;190;335;634;156;3525854
Jundiaí;2019;171931;11108;21889;102740;36194;3525904
Junqueirópolis;2019;5636;518;791;3434;893;3526001
Juquiá;2019;2347;321;408;1216;402;3526100
Juquitiba;2019;4559;481;688;2835;555;3526209
Lagoinha;2019;712;192;121;317;82;3526308
Laranjal Paulista;2019;9371;1801;2054;4493;1023;3526407
Lavínia;2019;682;105;91;353;133;3526506
Lavrinhas;2019;817;119;174;343;181;3526605
Leme;2019;22790;2396;3892;13095;3407;3526704
Lençóis Paulista;2019;20963;2217;2642;12787;3317;3526803
Limeira;2019;83605;4901;11575;51963;15166;3526902
Lindóia;2019;1948;287;390;931;340;3527009
Lins;2019;24909;3227;4266;13325;4091;3527108
Lorena;2019;16923;876;1534;10683;3830;3527207
Lourdes;2019;251;12;51;116;72;3527256
Louveira;2019;17144;996;2094;10408;3646;3527306
Lucélia;2019;9105;1467;1709;5130;799;3527405
Lucianópolis;2019;1066;524;155;304;83;3527504
