Localidades;Períodos;Empregos Formais ;Empregos Formais das Pessoas com Ensino Fundamental Incompleto ;Empregos Formais das Pessoas com Ensino Fundamental Completo ;Empregos Formais das Pessoas com Ensino Médio Completo ;Empregos Formais das Pessoas com Ensino Superior Completo ;Cód. IBGE
Santa Clara d'Oeste;2019;771;97;168;372;134;3546108
Santa Cruz da Conceição;2019;1195;374;243;482;96;3546207
Santa Cruz da Esperança;2019;400;98;83;156;63;3546256
Santa Cruz das Palmeiras;2019;5757;1403;969;2483;902;3546306
Santa Cruz do Rio Pardo;2019;15234;3296;2600;7144;2194;3546405
Santa Ernestina;2019;543;18;139;266;120;3546504
Santa Fé do Sul;2019;9242;718;1234;5351;1939;3546603
Santa Gertrudes;2019;8228;756;2138;4388;946;3546702
Santa Isabel;2019;10041;926;1228;6596;1291;3546801
Santa Lúcia;2019;621;66;150;292;113;3546900
Santa Maria da Serra;2019;1208;126;210;770;102;3547007
Santa Mercedes;2019;363;44;79;178;62;3547106
Santa Rita d'Oeste;2019;333;54;50;160;69;3547403
Santa Rita do Passa Quatro;2019;5465;542;935;3180;808;3547502
Santa Rosa de Viterbo;2019;4251;378;568;2585;720;3547601
Santa Salete;2019;207;22;35;87;63;3547650
Santana da Ponte Pensa;2019;212;10;35;112;55;3547205
Santana de Parnaíba;2019;55249;3758;6071;31360;14060;3547304
Santo Anastácio;2019;3338;229;344;2147;618;3547700
Santo André;2019;214217;20791;31223;122622;39581;3547809
Santo Antônio da Alegria;2019;1125;213;271;453;188;3547908
Santo Antônio de Posse;2019;7918;1042;1354;4222;1300;3548005
Santo Antônio do Aracanguá;2019;1642;293;283;805;261;3548054
Santo Antônio do Jardim;2019;1218;185;269;612;152;3548104
Santo Antônio do Pinhal;2019;1169;73;188;717;191;3548203
Santo Expedito;2019;318;12;72;165;69;3548302
Santópolis do Aguapeí;2019;532;48;111;273;100;3548401
Santos;2019;178529;15542;24071;96516;42400;3548500
São Bento do Sapucaí;2019;1666;228;224;965;249;3548609
São Bernardo do Campo;2019;258124;18276;28957;149756;61135;3548708
São Caetano do Sul;2019;109344;7404;13117;65280;23543;3548807
São Carlos;2019;75703;4096;17119;37916;16572;3548906
São Francisco;2019;218;47;25;84;62;3549003
São João da Boa Vista;2019;23672;2231;4150;12588;4703;3549102
São João das Duas Pontes;2019;273;56;37;106;74;3549201
São João de Iracema;2019;259;61;50;84;64;3549250
São João do Pau d'Alho;2019;230;52;18;112;48;3549300
São Joaquim da Barra;2019;12468;1590;1846;7249;1783;3549409
São José da Bela Vista;2019;811;140;92;404;175;3549508
São José do Barreiro;2019;524;110;75;225;114;3549607
São José do Rio Pardo;2019;14529;1117;2026;9049;2337;3549706
São José do Rio Preto;2019;142230;8203;18342;84542;31143;3549805
São José dos Campos;2019;182177;7472;18099;113863;42743;3549904
São Lourenço da Serra;2019;8330;1262;2472;4205;391;3549953
São Luiz do Paraitinga;2019;1823;339;247;980;257;3550001
São Manuel;2019;8237;1302;1379;4415;1141;3550100
São Miguel Arcanjo;2019;4502;681;618;2564;639;3550209
São Paulo;2019;5109943;303275;564958;2583302;1658408;3550308
São Pedro;2019;6593;597;1150;3851;995;3550407
São Pedro do Turvo;2019;1345;310;293;538;204;3550506
São Roque;2019;21439;1893;3059;13219;3268;3550605
São Sebastião;2019;18477;1766;3092;10854;2765;3550704
São Sebastião da Grama;2019;2634;612;344;1251;427;3550803
São Simão;2019;3318;446;646;1835;391;3550902
São Vicente;2019;35824;3052;5665;20065;7042;3551009
Sarapuí;2019;1892;258;271;1166;197;3551108
Sarutaiá;2019;596;82;91;333;90;3551207
Sebastianópolis do Sul;2019;2262;448;474;1099;241;3551306
Serra Azul;2019;845;104;149;450;142;3551405
Serra Negra;2019;6444;933;1525;3334;652;3551603
Serrana;2019;7421;1370;1078;3810;1163;3551504
Sertãozinho;2019;41384;5999;8845;20223;6317;3551702
Sete Barras;2019;1854;432;520;699;203;3551801
Severínia;2019;2351;435;489;1074;353;3551900
Silveiras;2019;790;228;81;344;137;3552007
Socorro;2019;8208;794;1476;4798;1140;3552106
Sorocaba;2019;198658;9381;22223;127474;39580;3552205
Sud Mennucci;2019;1602;460;313;536;293;3552304
Sumaré;2019;56183;3108;7066;35625;10384;3552403
Suzanápolis;2019;1480;301;234;658;287;3552551
Suzano;2019;64894;2963;7013;44644;10274;3552502
Tabapuã;2019;1985;287;368;1031;299;3552601
Tabatinga;2019;3445;850;618;1608;369;3552700
Taboão da Serra;2019;64855;3869;8857;40484;11645;3552809
Taciba;2019;800;42;198;382;178;3552908
Taguaí;2019;4569;980;610;2631;348;3553005
Taiaçu;2019;665;119;111;283;152;3553104
Taiúva;2019;747;127;156;311;153;3553203
Tambaú;2019;5908;1380;1166;2707;655;3553302
Tanabi;2019;5417;765;984;2840;828;3553401
Tapiraí;2019;1157;147;310;569;131;3553500
Tapiratiba;2019;2684;752;320;1170;442;3553609
Taquaral;2019;547;126;142;195;84;3553658
Taquaritinga;2019;10676;1596;1558;5783;1739;3553708
Taquarituba;2019;4960;409;609;3251;691;3553807
Taquarivaí;2019;1429;128;512;601;188;3553856
Tarabai;2019;1018;89;186;561;182;3553906
Tarumã;2019;5047;628;954;2778;687;3553955
Tatuí;2019;29395;2490;4122;17961;4822;3554003
Taubaté;2019;81699;4412;9469;50339;17479;3554102
Tejupá;2019;1174;445;147;453;129;3554201
Teodoro Sampaio;2019;3304;357;460;1912;575;3554300
Terra Roxa;2019;1226;195;245;545;241;3554409
Tietê;2019;14193;1987;2584;7631;1991;3554508
Timburi;2019;445;101;40;205;99;3554607
Torre de Pedra;2019;223;29;38;105;51;3554656
Torrinha;2019;2091;288;459;1091;253;3554706
Trabiju;2019;354;48;91;146;69;3554755
Tremembé;2019;4826;484;653;2770;919;3554805
Três Fronteiras;2019;633;120;77;302;134;3554904
Tuiuti;2019;646;127;96;288;135;3554953
Tupã;2019;16584;1087;1845;11154;2498;3555000
Tupi Paulista;2019;2256;243;255;1286;472;3555109
Turiúba;2019;280;38;49;130;63;3555208
Turmalina;2019;316;84;50;104;78;3555307
Ubarana;2019;1460;372;254;674;160;3555356
Ubatuba;2019;20618;1484;2917;13998;2219;3555406
Ubirajara;2019;1448;518;289;515;126;3555505
Uchoa;2019;1265;78;273;659;255;3555604
União Paulista;2019;287;79;30;128;50;3555703
Urânia;2019;1284;140;187;781;176;3555802
Uru;2019;261;52;79;78;52;3555901
Urupês;2019;2708;266;422;1669;351;3556008
Valentim Gentil;2019;2937;174;422;2035;306;3556107
Valinhos;2019;48031;3213;7083;27407;10328;3556206
Valparaíso;2019;5816;991;1022;3048;755;3556305
Vargem;2019;936;148;210;429;149;3556354
Vargem Grande do Sul;2019;7387;1283;1334;3736;1034;3556404
Vargem Grande Paulista;2019;12025;928;1741;7292;2064;3556453
Várzea Paulista;2019;17467;1716;2911;10039;2801;3556503
Vera Cruz;2019;1240;177;153;700;210;3556602
Vinhedo;2019;37793;3490;5421;21260;7622;3556701
Viradouro;2019;2924;265;436;1714;509;3556800
Vista Alegre do Alto;2019;3383;1117;614;1331;321;3556909
Vitória Brasil;2019;206;31;41;77;57;3556958
Votorantim;2019;19684;901;1908;13329;3546;3557006
Votuporanga;2019;26440;2061;3636;15888;4855;3557105
Zacarias;2019;585;61;124;287;113;3557154
