Código IES;Município
1281;Itapeva
1476;São Paulo
59;Franca
440;Itu
58;São Bernardo do Campo
276;Sorocaba
24920;São Paulo
18072;São Paulo
17839;Dracena
219;Monte Aprazível
493;Guaratinguetá
17355;São Paulo
1295;São Paulo
368;Sorocaba
517;Jaboticabal
23394;Avaré
21654;São Paulo
21485;São Paulo
4000;Marília
1307;Garça
17926;São Paulo
3940;Tatuí
1875;Ibitinga
438;Ituverava
68;Penápolis
74;São José do Rio Pardo
2389;Mogi das Cruzes
23381;Avaré
17972;Guaíra
2530;Guarulhos
1857;Taubaté
886;Hortolândia
1562;Ilha Solteira
1279;Itápolis
13938;Marília
18734;Martinópolis
1804;Mauá
93;Jundiaí
431;Marília
149;São José do Rio Preto
1118;Mirassol
371;São Paulo
12611;São Paulo
20328;São Paulo
1619;Olímpia
18526;Osasco
3400;Penápolis
13796;Porto Feliz
1096;Presidente Epitácio
3513;Presidente Venceslau
1413;Rosana
1304;Ribeirão Pires
1465;Ribeirão Preto
3307;Rio Claro
4029;Santa Bárbara d´Oeste
19861;Santana de Parnaíba
225;Santo André
1921;São Paulo
231;São Bernardo do Campo
2131;São Bernardo do Campo
1972;São Caetano do Sul
416;São Paulo
3186;São Roque
1690;São Vicente
4059;São Joaquim da Barra
2399;Sorocaba
2009;Taquaritinga
19252;São Paulo
23459;Adamantina
35;Americana
15697;Araçatuba
22939;Araraquara
23438;Araras
19863;Assis
28986;Barretos
15757;Barueri
15689;Bauru
4020;Botucatu
5633;Bragança Paulista
19739;Campinas
15704;Capão Bonito
16395;Carapicuíba
16410;Catanduva
19578;Cotia
18099;Diadema
23700;Ferraz de Vasconcelos
23705;Franco da Rocha
4021;Garça
1584;Guaratinguetá
15752;Guarulhos
1583;Indaiatuba
15693;Itapetininga
19864;Itapira
15639;Itaquaquecetuba
17977;São Paulo
22319;Itatiba
17952;Jacareí
37;Jaú
15769;Jales
4022;Jundiaí
24672;Matão
4023;Mauá
4024;Mococa
15576;Mogi das Cruzes
15709;Osasco
1874;Ourinhos
15687;Pindamonhangaba
15682;Piracicaba
4150;Piracicaba
17953;Pompéia
4926;Praia Grande
5627;Presidente Prudente
28985;Registro
20478;Santana de Parnaíba
5099;São Bernardo do Campo
15745;São Caetano do Sul
19500;São Carlos
4025;São José do Rio Preto
15581;São José dos Campos
34;São Paulo
18817;São Roque
15793;São Sebastião
1713;São Vicente
15696;Sertãozinho
33;Sorocaba
23867;Sumaré
967;Taquaritinga
15803;Tatuí
18049;Taubaté
28988;Votorantim
15746;São Paulo
15695;Itu
17942;São Paulo
15708;Franca
1964;São Paulo
14969;Ribeirão Preto
15784;Marília
21713;Ribeirão Preto
14858;Francisco Morato
3692;Campinas
4086;Santo André
19862;Bebedouro
15753;Jaboticabal
1743;São Paulo
5045;Lupércio
3978;Santo André
14401;Porto Feliz
14069;Praia Grande
15715;Lins
36;Santos
12661;São Paulo
15585;Santo André
19501;São Paulo
4820;São Carlos
4814;Taubaté
17691;Sorocaba
1286;São Bernardo do Campo
4815;Osasco
17690;Campinas
4026;São Paulo
15688;São Paulo
18033;Teodoro Sampaio
5048;São Paulo
4293;Tietê
2257;Diadema
19325;Piratininga
243;Mogi das Cruzes
23147;São Paulo
23215;Araçatuba
1275;Guarujá
3008;São José dos Campos
1898;Praia Grande
439;Ituverava
18696;Campinas
4995;São Paulo
1322;Avaré
23335;Embu
22176;Ribeirão Pires
3308;São Bernardo do Campo
22425;Franca
17902;Jundiaí
2408;Santos
4211;São Paulo
1561;Sorocaba
905;São Paulo
26606;São José dos Campos
4169;Carapicuíba
1659;Ourinhos
2806;São Paulo
3837;São Paulo
25716;São Paulo
15922;Pindamonhangaba
269;Tupã
5124;São José do Rio Preto
22084;Guarulhos
21822;Guarulhos
1520;São Paulo
2793;São Paulo
12723;São Paulo
15401;São Paulo
1541;São Paulo
22760;Cerquilho
4090;Roseira
21540;Francisco Morato
4597;Votuporanga
25392;São Paulo
26121;São Paulo
17662;Botucatu
1732;Pederneiras
16194;Barra Bonita
22659;Ribeirão Preto
26719;São Paulo
21431;São Paulo
2332;Piraju
2465;São Paulo
3746;São Paulo
4983;São José dos Campos
25393;São Paulo
12817;São Paulo
5387;São Paulo
2688;Jacareí
18711;São Paulo
2177;Osasco
20098;São Paulo
1190;São Paulo
1745;São Paulo
28519;Bauru
23181;Votorantim
24884;São Paulo
25349;São Paulo
1781;Ipaussu
24253;São José do Rio Preto
19879;São Paulo
22098;São Paulo
790;São Paulo
26265;São Paulo
1622;Barra Bonita
1693;Itanhaém
15873;Itaquaquecetuba
2328;Botucatu
26339;São Paulo
26338;São Paulo
18288;Arujá
25791;São Paulo
1946;São Paulo
3618;Cotia
1624;São Manuel
24366;Bauru
24368;Guarulhos
24369;Mauá
25205;Osasco
20530;Guarujá
26394;Bauru
26581;Araras
16934;São Paulo
4731;São Paulo
1130;Birigui
3933;São Paulo
25412;Franca
13752;Guarulhos
16543;Ribeirão Preto
25474;Catanduva
24072;Moji Mirim
12522;Mogi Guaçu
363;São Paulo
1876;Mogi Guaçu
1621;Nova Odessa
22313;Bauru
25207;Botucatu
22312;Osasco
22311;São Bernardo do Campo
22314;Guarulhos
22316;Mauá
25536;São Paulo
25440;São Paulo
25364;Ourinhos
4492;São Paulo
24365;São Paulo
370;São Paulo
